,Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Is Holiday Period,Month,Profit Percentage
2002,5609-2,2014-09-07,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Home Office,Mihael Khan,Medium,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Pack,Regular Air,09-09-2014,1.31,$2.84,1.53,22.0,$110.76,7%,$8.86,101.9,$0.93,$102.83,False,2014-09,116.79389312977099
2003,5609-2,2014-09-07,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Regular Air,09-09-2014,1.31,$2.84,1.53,42.0,$110.76,6%,$8.86,101.9,$0.93,$102.83,False,2014-09,116.79389312977099
2004,5610-1,2014-10-15,Vicky Freymann,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Not Specified,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Technology,Medium Box,Regular Air,19-10-2014,56.16,$136.98,80.82,18.0,"$1,544.90",0%,$132.41,1239.31,$24.49,"$1,407.69",False,2014-10,143.9102564102564
2005,5611-1,2014-10-27,Mike Gockenbach,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Medium,Binder Clips by OIC,Office Supplies,Small Box,Regular Air,31-10-2014,0.93,$1.48,0.55,2.0,$38.50,10%,$2.31,36.19,$0.70,$36.89,False,2014-10,59.13978494623656
2006,5612-1,2014-09-10,Victoria Pisteka,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Critical,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Office Supplies,Small Box,Regular Air,12-09-2014,56.16,$136.98,80.82,37.0,$130.55,10%,$1.31,129.24,$24.49,$133.01,False,2014-09,143.9102564102564
2007,5613-1,2015-05-20,Allen Armold,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Not Specified,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,22-05-2015,3.4,$5.40,2.0,8.0,$37.52,2%,$3.85,35.3,$7.78,$36.47,False,2015-05,58.82352941176471
2008,5614-1,2014-09-17,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,Not Specified,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Express Air,18-09-2014,8.82,$20.99,12.17,29.0,$68.02,4%,$0.00,68.02,$4.81,$72.49,False,2014-09,137.98185941043084
2009,5614-1,2014-12-26,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,High,Artisan Non-Stick Binders,Office Supplies,Small Pack,Express Air,29-12-2014,2.74,$4.49,1.75,26.0,$28.92,8%,$0.43,26.23,$1.49,$27.62,True,2014-12,63.86861313868613
2010,5614-1,2015-02-25,Scot Coram,"2-4 College Street, Darlinghurst",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,Smiths General Use 3-Ring Binders,Office Supplies,Small Pack,Regular Air,27-02-2015,1.18,$1.88,0.7,40.0,$36.40,5%,$0.00,35.3,$1.49,$36.69,False,2015-02,59.32203389830508
2011,5614-1,2014-12-06,Vivek Gonzalez,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Critical,Binder Posts,Office Supplies,Wrap Bag,Express Air,08-12-2014,3.5,$5.74,2.24,2.0,$21.32,6%,$2.01,21.63,$5.01,$22.23,False,2014-12,64.0
2012,5615-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Economy Binders,Office Supplies,Small Pack,Regular Air,17-08-2013,1.33,$2.08,0.75,7.0,$79.92,5%,$3.34,75.56,$1.49,$74.75,False,2013-08,56.390977443609025
2013,5616-1,2014-09-07,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,Not Specified,DrawIt Colored Pencils,Office Supplies,Small Box,Regular Air,09-09-2014,4.37,$9.11,4.74,31.0,$283.00,8%,$5.20,270.6,$2.25,$263.90,False,2014-09,108.46681922196797
2014,5616-1,2014-09-12,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,High,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Technology,Small Box,Regular Air,19-09-2014,14.95,$34.76,19.81,27.0,"$1,181.84",0%,$35.46,1156.38,$8.22,"$1,154.60",False,2014-09,132.50836120401337
2015,5616-1,2013-02-24,Dennis Kane,"148 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,26-02-2013,0.94,$1.88,0.94,28.0,$71.32,4%,$2.33,73.56,$0.79,$72.85,False,2013-02,100.0
2016,5619-1,2013-05-09,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Medium,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Small Box,Regular Air,11-05-2013,1.05,$1.95,0.9,23.0,$83.02,10%,$7.82,84.08,$1.63,$86.53,False,2013-05,85.71428571428571
2017,5620-1,2015-08-11,Steve Carroll,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Consumer,Nicholas Fernandes,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,12-08-2015,3.32,$5.18,1.86,50.0,$141.32,10%,$5.47,137.25,$2.04,$137.43,False,2015-08,56.02409638554218
2018,5621-1,2013-09-26,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Consumer,Tina Carlton,Medium,Colored Envelopes,Office Supplies,Wrap Bag,Regular Air,28-09-2013,2.25,$3.69,1.44,38.0,$119.14,3%,$5.96,113.1,$2.50,$116.19,False,2013-09,64.0
2019,5621-2,2014-07-18,Art Miller,"8 Quay Street,Haymarket",Sydney,NSW,Consumer,Leighton Forrest,Not Specified,Binder Clips by OIC,Office Supplies,Small Box,Regular Air,19-07-2014,0.93,$1.48,0.55,6.0,$48.84,9%,$2.94,45.92,$0.70,$46.61,False,2014-07,59.13978494623656
2020,5621-2,2014-09-21,George Ashbrook,"506 Swan Street,Richmond",Melbourne,VIC,Home Office,Connor Betts,Critical,Binder Clips by OIC,Office Supplies,Small Box,Regular Air,22-09-2014,0.93,$1.48,0.55,46.0,$48.84,3%,$2.93,45.91,$0.70,$46.61,False,2014-09,59.13978494623656
2021,5621-2,2014-09-28,Giulietta Baptist,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Consumer,Tina Carlton,High,Binder Clips by OIC,Furniture,Small Pack,Regular Air,29-09-2014,0.93,$1.48,0.55,32.0,$48.84,8%,$2.93,45.91,$0.70,$46.61,False,2014-09,59.13978494623656
2022,5622-1,2015-05-24,Denise Monton,"96 Liverpool St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,Apex Preferred Stainless Steel Scissors,Technology,Small Box,Regular Air,25-05-2015,2.5,$5.68,3.18,8.0,$215.71,4%,$2.28,110.75,$3.60,$113.39,False,2015-05,127.2
2023,5622-1,2013-12-08,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Home Office,Charlie Bui,Low,Binder Posts,Technology,Small Box,Regular Air,15-12-2013,3.5,$5.74,2.24,31.0,$113.64,1%,$12.31,110.63,$5.01,$113.32,False,2013-12,64.0
2024,5622-1,2014-01-04,Clay Ludtke,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Consumer,Preston Senome,Medium,Artisan 478 Labels,Technology,Small Box,Regular Air,12-02-2014,3.14,$4.91,1.77,23.0,$114.80,10%,$1.15,118.56,$0.50,$117.59,True,2014-01,56.36942675159236
2025,5623-1,2013-10-29,Sung Shariari,"6/15 Cross Street,Double Bay",Sydney,NSW,Corporate,Leighton Forrest,Low,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,31-10-2013,2.5,$5.68,3.18,44.0,$116.28,1%,$5.05,111.01,$3.60,$113.30,False,2013-10,127.2
2026,5623-1,2013-05-09,Liz Pelletier,"79 Elliott St,Balmain",Sydney,NSW,Corporate,Aanya Zhang,Critical,Self-Adhesive Ring Binder Labels,Office Supplies,Wrap Bag,Regular Air,10-05-2013,2.18,$3.52,1.34,22.0,$162.98,9%,$4.42,15.6,$6.83,$163.61,False,2013-05,61.46788990825688
2027,5624-1,2014-05-08,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Home Office,Natasha Song,High,Artisan 474 Labels,Office Supplies,Wrap Bag,Express Air,13-05-2014,1.84,$2.88,1.04,12.0,$49.30,10%,$3.95,45.4,$0.99,$46.11,False,2014-05,56.52173913043478
2028,5625-1,2013-10-20,Paul MacIntyre,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,High,DrawIt Colored Pencils,Office Supplies,Small Box,Regular Air,22-10-2013,4.37,$9.11,4.74,10.0,$939.56,4%,$0.00,939.06,$2.25,$924.83,False,2013-10,108.46681922196797
2029,5625-1,2014-08-11,Benjamin Patterson,"1-2/299 Sussex St,Sydney",Sydney,NSW,Small Business,Aanya Zhang,Medium,Office Shears by Apex,Office Supplies,Small Box,Regular Air,12-08-2014,0.94,$2.08,1.14,16.0,$74.88,0%,$0.75,74.33,$2.56,$76.69,False,2014-08,121.27659574468083
2030,5625-1,2014-09-23,Nathan Mautz,"412 Brunswick St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Critical,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,25-09-2014,21.56,$36.55,14.99,13.0,$437.28,8%,$26.24,411.04,$13.89,$413.29,False,2014-09,69.52690166975883
2031,5625-1,2013-07-30,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Small Box,Regular Air,31-07-2013,1.76,$3.38,1.62,11.0,$95.36,3%,$3.76,84.97,$0.85,$96.31,False,2013-07,92.04545454545455
2032,5625-1,2014-09-27,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Consumer,Tina Carlton,Medium,Colored Envelopes,Furniture,Small Pack,Regular Air,02-10-2014,2.25,$3.69,1.44,18.0,$78.96,4%,$0.00,78.96,$2.50,$83.55,False,2014-09,64.0
2033,5625-1,2014-09-28,Giulietta Baptist,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Medium,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,Regular Air,29-09-2014,21.56,$36.55,14.99,21.0,$437.28,6%,$26.24,411.04,$13.89,$413.29,False,2014-09,69.52690166975883
2034,5625-1,2014-09-27,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Consumer,Tina Carlton,Medium,Office Shears by Apex,Technology,Large Box,Express Air,02-10-2014,0.94,$2.08,1.14,10.0,$74.88,1%,$0.75,74.13,$2.56,$76.69,False,2014-09,121.27659574468083
2035,5625-1,2014-12-27,Matthew Grinstein,"105 Pitt St,Sydney",Sydney,NSW,Consumer,Charlie Bui,High,"Creator Anti Dust Chalk, 12/Pack",Office Supplies,Small Box,Regular Air,28-12-2014,1.09,$1.82,0.73,9.0,$93.12,4%,$5.34,83.92,$1.00,$81.60,True,2014-12,66.97247706422019
2036,5626-1,2014-09-27,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Office Shears by Apex,Office Supplies,Wrap Bag,Regular Air,02-10-2014,0.94,$2.08,1.14,41.0,$74.88,2%,$0.75,74.13,$2.56,$76.69,False,2014-09,121.27659574468083
2037,5627-1,2014-10-06,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Home Office,Natasha Song,Medium,PastelOceen Roud & Seel Expanding Envelopes,Technology,Small Box,Regular Air,07-10-2014,54.29,$90.48,36.19,24.0,$89.32,8%,$5.56,83.96,$19.99,$86.69,False,2014-10,66.66052680051574
2038,5627-1,2014-09-27,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Low,Office Shears by Apex,Office Supplies,Small Box,Regular Air,02-10-2014,0.94,$2.08,1.14,5.0,$74.88,6%,$0.75,74.13,$2.56,$76.69,False,2014-09,121.27659574468083
2039,5627-1,2014-09-27,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Regular Air,02-10-2014,0.9,$2.10,1.2,24.0,$74.88,4%,$0.75,74.13,$0.70,$76.69,False,2014-09,133.33333333333331
2040,5627-1,2014-09-27,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Medium,Office Shears by Apex,Office Supplies,Small Box,Regular Air,02-10-2014,0.94,$2.08,1.14,14.0,$74.88,2%,$0.75,74.13,$2.56,$76.69,False,2014-09,121.27659574468083
2041,5627-1,2015-04-10,Katrina Edelman,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Consumer,Preston Senome,Not Specified,Smiths Bulk Pack Metal Binder Clips,Furniture,Small Pack,Regular Air,11-04-2015,3.95,$6.08,2.13,27.0,$439.50,7%,$38.53,430.65,$1.82,$415.63,True,2015-04,53.92405063291139
2042,5628-1,2014-05-08,Murichelle Moray,"6 Mary St,Newtown",Sydney,NSW,Home Office,Samantha Chairs,Medium,DrawIt Colored Pencils,Office Supplies,Small Box,Regular Air,12-05-2014,4.37,$9.11,4.74,6.0,$919.60,6%,$0.00,991.52,$2.25,$925.20,False,2014-05,108.46681922196797
2043,5629-1,2014-09-11,Philip Brown,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,Not Specified,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,13-09-2014,1.18,$1.88,0.7,28.0,$76.68,5%,$2.30,74.38,$1.49,$76.88,False,2014-09,59.32203389830508
2044,5629-1,2014-08-28,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Home Office,Mihael Khan,High,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Wrap Bag,Regular Air,01-08-2014,3.88,$6.47,2.59,23.0,$121.03,6%,$3.63,117.4,$1.22,$118.42,False,2014-08,66.75257731958763
2045,5629-1,2013-05-09,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Medium,Smiths Paper Clips,Office Supplies,Small Box,Regular Air,11-05-2013,1.53,$2.47,0.94,16.0,$121.03,10%,$3.63,117.4,$1.02,$118.42,False,2013-05,61.43790849673202
2046,5630-1,2014-09-28,Giulietta Baptist,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Small Business,Tina Carlton,High,Steady Liquid Accent Tank-Style Highlighters,Technology,Small Pack,Regular Air,29-09-2014,1.31,$2.84,1.53,18.0,$106.88,3%,$10.69,96.19,$0.93,$97.69,False,2014-09,116.79389312977099
2047,5630-1,2014-09-28,Giulietta Baptist,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Small Business,Tina Carlton,Low,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Regular Air,29-09-2014,1.31,$2.84,1.53,5.0,$106.88,9%,$10.69,96.19,$0.93,$97.69,False,2014-09,116.79389312977099
2048,5631-1,2014-09-29,Christopher Martinez,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,OIC Thumb-Tacks,Office Supplies,Wrap Bag,Regular Air,29-09-2014,0.71,$1.14,0.43,23.0,$9.12,7%,$0.00,9.12,$0.70,$9.82,False,2014-09,60.56338028169014
2049,5631-1,2015-02-18,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Critical,Smiths Pushpins,Office Supplies,Wrap Bag,Express Air,21-02-2015,0.94,$1.88,0.94,8.0,$69.30,10%,$3.37,65.85,$0.79,$66.54,False,2015-02,100.0
2050,5631-1,2014-09-29,Christopher Martinez,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,Critical,OIC Thumb-Tacks,Office Supplies,Wrap Bag,Regular Air,29-09-2014,0.71,$1.14,0.43,2.0,$9.16,3%,$0.00,9.12,$0.70,$9.82,False,2014-09,60.56338028169014
2051,5631-1,2014-12-01,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Critical,Steady Liquid Accent Tank-Style Highlighters,Furniture,Small Pack,Express Air,05-12-2014,1.31,$2.84,1.53,10.0,$58.60,1%,$0.30,59.64,$0.93,$68.59,False,2014-12,116.79389312977099
2052,5631-1,2014-09-29,Christopher Martinez,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,OIC Thumb-Tacks,Furniture,Small Pack,Regular Air,29-09-2014,0.71,$1.14,0.43,11.0,$9.12,6%,$0.00,9.12,$0.70,$9.82,False,2014-09,60.56338028169014
2053,5632-1,2016-11-26,Laurel Elliston,"1 John St,Waterloo",Sydney,NSW,Corporate,Charlie Bui,Critical,Binder Clips by OIC,Office Supplies,Wrap Bag,Regular Air,28-11-2016,0.93,$1.48,0.55,2.0,$9.56,6%,$0.00,9.12,$0.70,$9.82,False,2016-11,59.13978494623656
2054,5632-1,2013-02-23,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Critical,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Regular Air,23-02-2013,32.02,$152.48,120.46,8.0,"$4,291.96",5%,$497.66,3895.2,$4.00,"$3,721.01",False,2013-02,376.2023735165521
2055,5633-1,2014-01-17,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Medium,Apex Box Cutter Scissors,Office Supplies,Wrap Bag,Regular Air,19-01-2014,4.19,$10.23,6.04,3.0,$201.60,10%,$8.06,193.54,$4.68,$193.02,False,2014-01,144.1527446300716
2056,5634-1,2014-10-04,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Small Business,Tina Carlton,Critical,Laser DVD-RAM discs,Office Supplies,Wrap Bag,Regular Air,06-10-2014,20.18,$35.41,15.23,18.0,$177.05,1%,$0.00,178.05,$1.99,$179.04,False,2014-10,75.47076313181368
2057,5635-1,2015-02-03,Tom Stivers,"21 Wentworth St,Parramatta",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,02-03-2015,4.59,$7.28,2.69,49.0,$203.49,4%,$6.10,197.39,$11.15,$303.70,False,2015-02,58.605664488017425
2058,5635-1,2014-09-27,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Consumer,Tina Carlton,Critical,Artisan 48 Labels,Office Supplies,Small Pack,Regular Air,02-10-2014,3.84,$6.30,2.46,33.0,$297.60,5%,$0.00,298.6,$0.50,$309.70,False,2014-09,64.0625
2059,5635-1,2014-10-03,Nathan Mautz,"412 Brunswick St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,PastelOcean Color Pencil Set,Office Supplies,Wrap Bag,Regular Air,05-10-2014,11.11,$19.84,8.73,43.0,$297.60,1%,$0.00,297.6,$4.10,$301.70,False,2014-10,78.57785778577858
2060,5636-1,2016-04-23,Thomas Thornton,"222 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Express Air,24-04-2016,1.18,$1.88,0.7,46.0,$8.76,8%,$0.50,7.12,$1.49,$11.92,True,2016-04,59.32203389830508
2061,5637-1,2014-04-07,Carlos Daly,"6-8 O'Connell Street,Newtown",Sydney,NSW,Consumer,Nicholas Fernandes,Medium,Artisan 487 Labels,Office Supplies,Wrap Bag,Express Air,07-04-2014,2.29,$3.69,1.4,30.0,$110.70,5%,$931.80,100.74,$0.50,$101.24,False,2014-04,61.135371179039296
2062,5637-1,2014-10-02,Carl Jackson,"6 Mary St,Newtown",Sydney,NSW,Home Office,Samantha Chairs,Medium,Artisan 478 Labels,Office Supplies,Small Box,Regular Air,04-10-2014,3.14,$4.91,1.77,45.0,$110.70,4%,$9.96,100.74,$0.50,$101.24,False,2014-10,56.36942675159236
2063,5638-1,2014-11-23,Nicole Hansen,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Critical,Adesso Programmable 142-Key Keyboard,Furniture,Large Box,Regular Air,26-11-2014,39.64,$152.48,112.84,44.0,"$1,020.91",8%,$92.00,1702.69,$6.50,"$1,082.74",False,2014-11,284.6619576185671
2064,5639-1,2014-08-28,Jim Kriz,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Home Office,Mihael Khan,Low,PastelOcean Color Pencil Set,Office Supplies,Small Box,Regular Air,01-09-2014,11.11,$19.84,8.73,37.0,$113.06,9%,$4.33,110.65,$4.10,$113.36,False,2014-08,78.57785778577858
2065,5639-1,2014-11-23,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Cando PC940 Copier,Office Supplies,Small Box,Regular Air,27-11-2014,216.0,$449.99,233.99,40.0,"$15,299.66",4%,$305.99,14993.67,$24.49,"$15,042.67",False,2014-11,108.32870370370371
2066,5639-1,2013-12-03,Jeremy Pistek,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Consumer,Mihael Khan,Critical,Binder Posts,Office Supplies,Small Box,Regular Air,05-12-2013,3.5,$5.74,2.24,43.0,$156.98,5%,$10.60,148.76,$5.01,$154.36,False,2013-12,64.0
2067,5639-1,2014-10-02,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Critical,Smiths Colored Interoffice Envelopes,Office Supplies,Small Box,Regular Air,04-10-2014,19.83,$30.98,11.15,8.0,"$1,027.76",4%,$30.83,996.93,$19.51,"$1,001.85",False,2014-10,56.227937468482104
2068,5639-1,2013-03-30,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,Bagged Rubber Bands,Office Supplies,Small Box,Regular Air,31-03-2013,0.24,$1.26,1.02,20.0,$56.70,7%,$0.17,54.63,$0.70,$55.63,True,2013-03,425.0
2069,5639-1,2014-06-25,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Home Office,Mihael Khan,Not Specified,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Pack,Regular Air,25-06-2014,16.8,$40.97,24.17,36.0,"$1,915.59",10%,$115.50,1811.05,$8.99,"$1,819.04",False,2014-06,143.86904761904762
2070,5639-1,2013-07-17,Pauline Webber,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Critical,Emerson LQ-870 Dot Matrix Printer,Technology,Jumbo Drum,Delivery Truck,17-07-2013,219.61,$535.64,316.03,43.0,$275.32,6%,$2.75,285.59,$14.70,$267.96,False,2013-07,143.90510450343788
2071,5639-1,2014-10-02,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Small Business,Natasha Song,Medium,Smiths Colored Bar Computer Paper,Office Supplies,Small Box,Regular Air,04-10-2014,21.97,$35.44,13.47,48.0,"$1,027.76",8%,$30.83,996.93,$4.92,"$1,001.85",False,2014-10,61.310878470641796
2072,5639-1,2014-09-12,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,19-09-2014,60.59,$100.98,40.39,44.0,"$1,074.68",7%,$30.39,1052.39,$7.18,"$1,102.75",False,2014-09,66.66116520878033
2073,5641-1,2014-05-03,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,Low,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,07-05-2014,3.84,$6.30,2.46,32.0,$130.64,10%,$1.51,128.03,$0.50,$129.42,False,2014-05,64.0625
2074,5642-1,2015-08-10,Nora Price,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Preston Senome,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,13-08-2015,5.33,$8.60,3.27,23.0,$279.30,3%,$8.38,270.52,$6.19,$290.02,False,2015-08,61.350844277673545
2075,5642-1,2013-10-20,Joni Wasserman,"Westfield Sydney,Sydney",Sydney,NSW,Home Office,Natasha Song,Not Specified,DrawIt Colored Pencils,Office Supplies,Small Box,Regular Air,22-10-2013,4.37,$9.11,4.74,4.0,$136.03,4%,$0.00,137.62,$2.25,$147.65,False,2013-10,108.46681922196797
2076,5642-1,2014-10-04,Liz Price,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan Non-Stick Binders,Office Supplies,Small Box,Regular Air,11-10-2014,2.74,$4.49,1.75,41.0,$197.56,8%,$5.93,191.63,$1.49,$193.12,False,2014-10,63.86861313868613
2077,5642-1,2013-07-26,Charles Sheldon,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,28-07-2013,6.39,$19.98,13.59,50.0,$334.50,2%,$3.65,315.39,$4.00,$339.19,False,2013-07,212.6760563380282
2078,5643-1,2015-12-06,Pete Armstrong,"506 Swan Street,Richmond",Melbourne,VIC,Corporate,Connor Betts,Critical,Bagged Rubber Bands,Office Supplies,Small Box,Regular Air,06-12-2015,0.24,$1.26,1.02,25.0,$36.10,4%,$2.64,34.66,$0.70,$36.53,False,2015-12,425.0
2079,5643-1,2014-10-04,Liz Price,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,Medium,Artisan Hole Reinforcements,Office Supplies,Small Pack,Regular Air,11-10-2014,3.99,$6.23,2.24,22.0,$197.56,2%,$5.93,191.63,$6.97,$193.12,False,2014-10,56.14035087719298
2080,5643-1,2014-10-04,Liz Price,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Home Office,Mihael Khan,High,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,11-10-2014,3.99,$6.23,2.24,21.0,$197.56,3%,$5.93,191.63,$6.97,$193.12,False,2014-10,56.14035087719298
2081,5644-1,2015-09-04,Tony Molinari,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Home Office,Mihael Khan,Medium,TechSavi Access Keyboard,Office Supplies,Wrap Bag,Regular Air,09-09-2015,10.07,$15.98,5.91,6.0,$659.20,5%,$19.18,610.0,$4.00,$615.63,False,2015-09,58.68917576961271
2082,5644-1,2014-02-22,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Small Business,Natasha Song,High,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Technology,Small Box,Regular Air,23-02-2014,56.16,$136.98,80.82,31.0,$457.22,3%,$14.00,445.2,$24.49,$451.00,False,2014-02,143.9102564102564
2083,5644-1,2013-10-02,Greg Hansen,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,Laser DVD-RAM discs,Office Supplies,Small Box,Regular Air,03-10-2013,20.18,$35.41,15.23,10.0,$175.05,9%,$0.00,177.05,$1.99,$179.04,False,2013-10,75.47076313181368
